,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5,3408,USD Coin,USDC,usd-coin,13509,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,26250876095.057114,26250876095.057114,False,,6,,,,2023-08-01T20:31:00.000Z,1.0001874353338365,3912931423.8569865,37.6185,0.00917984,0.02924688,0.01543933,-0.00040053,0.01957567,0.02345209,26255796436.78149,2.2353,26255796436.78,,2023-08-01T20:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-08-01 20:33:14.959347
6,74,Dogecoin,DOGE,dogecoin,760,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,140416256383.70523,140416256383.70523,True,,7,,,,2023-08-01T20:31:00.000Z,0.07721455883354957,368358648.1578008,7.6093,-0.20994476,-0.41488341,-5.25538218,13.63469018,6.09791243,-1.25964798,10842179289.726387,0.923,10842179289.73,,2023-08-01T20:31:00.000Z,,,,,,2023-08-01 20:33:14.959347
7,2010,Cardano,ADA,cardano,886,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35010905033.978,36030277985.671,False,,8,,,,2023-08-01T20:31:00.000Z,0.3062214115998462,257162126.5809211,38.0096,-0.05700803,-1.26881694,1.23529637,6.08194453,-19.07980377,-20.3182756,10721088760.892904,0.9127,13779963521.99,,2023-08-01T20:31:00.000Z,,,,,,2023-08-01 20:33:14.959347
8,5426,Solana,SOL,solana,496,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,404509879.233194,553868048.1017171,True,,9,,,,2023-08-01T20:31:00.000Z,23.508169944892142,413997735.7123392,7.5952,-0.32501506,-1.5513926,1.37400713,21.45665113,10.47224464,8.68629674,9509286985.401722,0.8095,13020424201.82,,2023-08-01T20:31:00.000Z,,,,,,2023-08-01 20:33:14.959347
9,1958,TRON,TRX,tron,802,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'sec-security-token', 'alleged-sec-securities']",,89600617259.53853,89600626786.0492,True,,10,71659659264.0,5606131158.024348,,2023-08-01T20:31:00.000Z,0.07823273534375744,209946068.63366303,-19.1698,-0.06201991,0.1344175,-3.99171341,3.31095492,1.91435153,13.3441316,7009701376.702783,0.5968,7009702121.99,,2023-08-01T20:31:00.000Z,,,,,,2023-08-01 20:33:14.959347
10,2,Litecoin,LTC,litecoin,963,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73491939.22743528,84000000.0,False,,11,,,,2023-08-01T20:31:00.000Z,93.13827723581488,754767237.5637559,32.6374,-0.48233267,1.08529198,4.64350299,-16.51920892,-2.14866457,7.07296708,6844912610.362526,0.5827,7823615287.81,,2023-08-01T20:31:00.000Z,,,,,,2023-08-01 20:33:14.959347
11,3890,Polygon,MATIC,polygon,793,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'sec-security-token', 'alleged-sec-securities']",10000000000.0,9319469069.28493,10000000000.0,False,,12,,,,2023-08-01T20:31:00.000Z,0.6863056345431907,284080692.0114237,24.2202,-0.1464218,-0.21011352,-2.74767381,2.3655469,-23.72234584,-31.09494205,6396004133.201232,0.5445,6863056345.43,,2023-08-01T20:31:00.000Z,,,,,,2023-08-01 20:33:14.959347
12,6636,Polkadot,DOT,polkadot-new,546,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1211040830.4106305,1340519707.7158103,True,,13,,,,2023-08-01T20:31:00.000Z,5.130456130947128,121123948.20198734,9.883,-0.088007,0.59882581,-0.43716995,-5.03474496,-2.77183453,-9.68040159,6213191853.2075205,0.5288,6877477553.11,,2023-08-01T20:31:00.000Z,,,,,,2023-08-01 20:33:14.959347
13,5994,Shiba Inu,SHIB,shiba-inu,578,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589346914631298.1,589589040239379.6,False,,14,,,,2023-08-01T20:31:00.000Z,8.317047169438138e-06,128709343.6066119,-19.9206,-0.10151196,-1.28830653,6.29772352,9.61827371,-4.06530318,-16.48735637,4901626088.151339,0.4171,4903639858.25,,2023-08-01T20:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2023-08-01 20:33:14.959347
14,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,1308,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem']",,161860.18773859,161860.18773859,False,,15,,,,2023-08-01T20:31:00.000Z,29202.901243564847,198337862.6849368,25.5428,-0.06348584,-0.04394613,-0.15528185,-4.3782525,7.14517724,2.71473961,4726787077.7949095,0.4025,4726787077.79,,2023-08-01T20:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2023-08-01 20:33:14.959347
